,Status,Premiered,Rating,Duration,Demographic,Episodes,Aired,Producers,German,Genre,English,Licensors,Members,Studios,Ranked,Spanish,Theme,Score,Source,Synonyms,Type,Broadcast,Popularity,Favorites,Genres,Japanese
20,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  1 hr. 50 min.  '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai,         Time TravelTime Travel ']",['  1  '],"['  Jul 6, 2013  ']","['TV Tokyo,       Aniplex,       Dentsu,       Bandai,       Warner Bros. Japan,       Shueisha ']",[' Gintama the Movie 2    '],"['ActionAction,         ComedyComedy,         Sci-FiSci-Fi ']",[' Gintama: The Movie: The Final Chapter: Be Forever Yorozuya      '],"['    None found, add some ']","['    240,940']",['Sunrise '],"[""  #2122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai,         Time TravelTime Travel ']","['8.911 (scored by 135434135,434 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2  ']",['Movie'],[],['  #1006'],"['  2,121']",['  1  '],"['  Jul 6, 2013  ']"
21,['  Finished Airing  '],[],['  R - 17+ (violence & profanity)  '],['  1 hr. 12 min. per ep.  '],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']",['  2  '],"['  Mar 4, 2023 to Nov 5, 2023  ']","['Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises ']",[],"['ActionAction,         DramaDrama,         SuspenseSuspense ']",[' Attack on Titan: Final Season - The Final Chapters      '],"['    None found, add some ']","['    643,676']",['MAPPA '],"[""  #2222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']","['8.901 (scored by 371597371,597 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Shingeki no Kyojin: The Final Season Part 3, Shingeki no Kyojin Season 4, Attack on Titan Season 4  ']",['TV Special'],"['Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises ']",['  #326'],"['  15,307']",['  2  '],"['  Mar 4, 2023 to Nov 5, 2023  ']"
22,['  Finished Airing  '],['Winter 2024'],['  PG-13 - Teens 13 or older  '],['  23 min. per ep.  '],[],['  13  '],"['  Jan 7, 2024 to Mar 31, 2024  ']","['Dentsu,       TV Asahi,       Movic,       Magic Capsule,       Avex Pictures,       Akita Shoten,       BS Asahi,       TV Asahi Music ']",[],"['ComedyComedy,         RomanceRomance ']",[' The Dangers in My Heart Season 2      '],['Sentai Filmworks '],"['    171,760']",['Shin-Ei Animation '],"[""  #2422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['SchoolSchool '],"['8.881 (scored by 8474784,747 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Bokuyaba  '],['TV'],['    Sundays at 01:30 (JST)      '],['  #1372'],"['  3,826']",['  13  '],"['  Jan 7, 2024 to Mar 31, 2024  ']"
23,['  Finished Airing  '],['Summer 2018'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']",['  14  '],"['  Jul 9, 2018 to Oct 8, 2018  ']","['TV Tokyo,       Aniplex,       Dentsu,       Shueisha ']",[],"['ActionAction,         ComedyComedy,         Sci-FiSci-Fi ']",[' Gintama.: Silver Soul Arc - Second Half War      '],"['    None found, add some ']","['    198,942']",['Bandai Namco Pictures '],"[""  #2522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']","['8.881 (scored by 9583995,839 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Gintama.: Silver Soul Arc 2  '],['TV'],['    Mondays at 01:35 (JST)      '],['  #1215'],"['  1,043']",['  14  '],"['  Jul 9, 2018 to Oct 8, 2018  ']"
24,['  Finished Airing  '],['Spring 2004'],['  R+ - Mild Nudity  '],['  24 min. per ep.  '],"['Adult CastAdult Cast,         PsychologicalPsychological ']",['  74  '],"['  Apr 7, 2004 to Sep 28, 2005  ']","['VAP,       Shogakukan-Shueisha Productions,       Nippon Television Network ']",[],"['DramaDrama,         MysteryMystery,         SuspenseSuspense ']",[' Monster      '],['VIZ Media '],"['    1,119,844']",['Madhouse '],"[""  #2322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Adult CastAdult Cast,         PsychologicalPsychological ']","['8.881 (scored by 418432418,432 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['TV'],['    Wednesdays at 00:40 (JST)      '],['  #131'],"['  52,814']",['  74  '],"['  Apr 7, 2004 to Sep 28, 2005  ']"
25,['  Finished Airing  '],[],['  R - 17+ (violence & profanity)  '],['  22 min. per ep.  '],[],['  7  '],"['  Aug 12, 2017 to Aug 13, 2017  ']","['Aniplex,       Kodansha ']",[],"['ComedyComedy,         MysteryMystery,         SupernaturalSupernatural ']",[' Owarimonogatari Second Season      '],['Aniplex of America '],"['    399,372']",['Shaft '],"[""  #2722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['VampireVampire '],"['8.871 (scored by 192510192,510 users)      1          indicates a weighted score.    ']",['  Light novel  '],[' End Story 2nd Season  '],['TV Special'],[],['  #575'],"['  8,648']",['  7  '],"['  Aug 12, 2017 to Aug 13, 2017  ']"
26,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  2 hr. 20 min.  '],[],['  1  '],"['  Sep 18, 2020  ']","['Shochiku,       ABC Animation ']",[],"['Award WinningAward Winning,         DramaDrama,         FantasyFantasy ']",[' Violet Evergarden: The Movie      '],['Funimation '],"['    610,458']",['Kyoto Animation '],"[""  #2622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Violet Evergarden: La película    '],[],"['8.871 (scored by 275745275,745 users)      1          indicates a weighted score.    ']",['  Light novel  '],[' Gekijouban Violet Evergarden  '],['Movie'],[],['  #354'],"['  8,762']",['  1  '],"['  Sep 18, 2020  ']"
27,['  Finished Airing  '],['Summer 2023'],['  R - 17+ (violence & profanity)  '],['  23 min. per ep.  '],"['GoreGore,         SchoolSchool ']",['  23  '],"['  Jul 6, 2023 to Dec 28, 2023  ']","['Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap ']",[],"['ActionAction,         FantasyFantasy ']",[' Jujutsu Kaisen Season 2      '],"['    None found, add some ']","['    923,481']",['MAPPA '],"[""  #2922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['GoreGore,         SchoolSchool ']","['8.831 (scored by 478356478,356 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Jujutsu Kaisen: Kaigyoku Gyokusetsu, Jujutsu Kaisen: Shibuya Jihen, Sorcery Fight, JJK  ']",['TV'],"['    Thursdays at 23:56 (JST)      ', 'Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap ']",['  #181'],"['  20,968']",['  23  '],"['  Jul 6, 2023 to Dec 28, 2023  ']"
28,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  1 hr. 46 min.  '],[],['  1  '],"['  Aug 26, 2016  ']","['TOHO,       Sound Team Don Juan,       Lawson HMV Entertainment,       Amuse,       JR East Marketing & Communications,       Kadokawa,       voque ting ']",[' Your Name.    '],"['Award WinningAward Winning,         DramaDrama,         SupernaturalSupernatural ']",[' Your Name.      '],"['Funimation,       NYAV Post ']","['    2,742,875']",['CoMix Wave Films '],"[""  #2822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Your Name.    '],['Romantic SubtextRomantic Subtext '],"['8.841 (scored by 19028251,902,825 users)      1          indicates a weighted score.    ']",['  Original  '],[],['Movie'],[],['  #11'],"['  90,483']",['  1  '],"['  Aug 26, 2016  ']"
29,['  Finished Airing  '],['Spring 2020'],['  R - 17+ (violence & profanity)  '],['  25 min. per ep.  '],"['HistoricalHistorical,         MilitaryMilitary ']",['  26  '],"['  Apr 6, 2020 to Oct 17, 2021  ']",['Shueisha '],[],['ActionAction '],[' Kingdom: Season 3      '],['Funimation '],"['    103,527']","['Pierrot,       Studio Signpost ']","[""  #3022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['HistoricalHistorical,         MilitaryMilitary ']","['8.821 (scored by 4067040,670 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['TV'],['    Mondays at 00:10 (JST)      '],['  #2032'],"['  2,124']",['  26  '],"['  Apr 6, 2020 to Oct 17, 2021  ']"
30,['  Finished Airing  '],['Winter 2023'],['  R - 17+ (violence & profanity)  '],['  25 min. per ep.  '],"['GoreGore,         HistoricalHistorical ']",['  24  '],"['  Jan 10, 2023 to Jun 20, 2023  ']","['Dentsu,       Kodansha,       Twin Engine ']",[],"['ActionAction,         AdventureAdventure,         DramaDrama ']",[' Vinland Saga Season 2      '],"['    None found, add some ']","['    608,029']",['MAPPA '],"[""  #3222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['GoreGore,         HistoricalHistorical ']","['8.811 (scored by 314073314,073 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['TV'],['    Tuesdays at 00:30 (JST)      '],['  #359'],"['  14,236']",['  24  '],"['  Jan 10, 2023 to Jun 20, 2023  ']"
31,['  Finished Airing  '],['Winter 2018'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']",['  12  '],"['  Jan 8, 2018 to Mar 26, 2018  ']","['TV Tokyo,       Aniplex,       Dentsu,       Shueisha ']",[],"['ActionAction,         ComedyComedy,         Sci-FiSci-Fi ']",[' Gintama.: Silver Soul Arc      '],"['    None found, add some ']","['    213,041']",['Bandai Namco Pictures '],"[""  #3122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai ']","['8.811 (scored by 104539104,539 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['TV'],['    Mondays at 01:35 (JST)      '],['  #1138'],"['  1,179']",['  12  '],"['  Jan 8, 2018 to Mar 26, 2018  ']"
32,['  Finished Airing  '],['Fall 2022'],['  PG-13 - Teens 13 or older  '],['  23 min. per ep.  '],"['CGDCTCGDCT,         MusicMusic ']",['  12  '],"['  Oct 9, 2022 to Dec 25, 2022  ']","['Aniplex,       Houbunsha ']",[],['ComedyComedy '],[' Bocchi the Rock!      '],"['    None found, add some ']","['    568,714']",['CloverWorks '],"[""  #3622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['CGDCTCGDCT,         MusicMusic ']","['8.791 (scored by 342405342,405 users)      1          indicates a weighted score.    ']",['  4-koma manga  '],[],['TV'],['    Sundays at 00:00 (JST)      '],['  #384'],"['  27,692']",['  12  '],"['  Oct 9, 2022 to Dec 25, 2022  ']"
33,['  Finished Airing  '],['Winter 2019'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],[],['  13  '],"['  Jan 7, 2019 to Apr 1, 2019  ']","['Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan ']",[],"['ActionAction,         ComedyComedy,         SupernaturalSupernatural ']",[' Mob Psycho 100 II      '],['Funimation '],"['    1,530,778']",['Bones '],"[""  #3522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['Super PowerSuper Power '],"['8.791 (scored by 966577966,577 users)      1          indicates a weighted score.    ']",['  Web manga  '],"[' Mob Psycho 100 2nd Season, Mob Psycho Hyaku, Mob Psycho One Hundred  ']",['TV'],['    Mondays at 23:00 (JST)      '],['  #72'],"['  32,384']",['  13  '],"['  Jan 7, 2019 to Apr 1, 2019  ']"
34,['  Finished Airing  '],['Winter 2021'],['  R - 17+ (violence & profanity)  '],['  23 min. per ep.  '],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']",['  16  '],"['  Dec 7, 2020 to Mar 29, 2021  ']","['Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises ']",[' Attack on Titan Final Season    '],"['ActionAction,         DramaDrama,         SuspenseSuspense ']",[' Attack on Titan: Final Season      '],['Funimation '],"['    1,998,616']",['MAPPA '],"[""  #3422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Ataque a los Titanes Temporada Final    '],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']","['8.791 (scored by 13276791,327,679 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Shingeki no Kyojin Season 4, Attack on Titan Season 4  ']",['TV'],"['    Mondays at 00:10 (JST)      ', 'Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises ']",['  #35'],"['  52,243']",['  16  '],"['  Dec 7, 2020 to Mar 29, 2021  ']"
35,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  2 hr. 4 min.  '],"['SchoolSchool,         Team SportsTeam Sports ']",['  1  '],"['  Dec 3, 2022  ']",['Shueisha '],[],"['Award WinningAward Winning,         SportsSports ']",[],['GKIDS '],"['    42,851']","['Toei Animation,       DandeLion Animation Studio ']","[""  #3322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['SchoolSchool,         Team SportsTeam Sports ']","['8.801 (scored by 1532015,320 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['Movie'],[],['  #3406'],['  571'],['  1  '],"['  Dec 3, 2022  ']"
36,['  Finished Airing  '],['Fall 2016'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['SchoolSchool,         Team SportsTeam Sports ']",['  10  '],"['  Oct 8, 2016 to Dec 10, 2016  ']","['Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha ']",[' Haikyuu!!Staffel 3 Karasuno vs. Shiratorizawa    '],['SportsSports '],[' Haikyu!! 3rd Season      '],['Sentai Filmworks '],"['    1,202,710']",['Production I.G '],"[""  #3722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Haikyu!! Los Ases del Vóley Temporada 3    '],"['SchoolSchool,         Team SportsTeam Sports ']","['8.781 (scored by 797346797,346 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Haikyuu!! Third Season, Haikyuu!! Karasuno High VS Shiratorizawa Academy  ']",['TV'],"['    Saturdays at 01:55 (JST)      ', 'Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha ']",['  #117'],"['  15,517']",['  10  '],"['  Oct 8, 2016 to Dec 10, 2016  ']"
37,['  Finished Airing  '],[],['  PG-13 - Teens 13 or older  '],['  1 hr. 36 min.  '],[],['  1  '],"['  Dec 17, 2022  ']","['Aniplex,       Mainichi Broadcasting System,       Shueisha,       JR East Marketing & Communications ']",[],"['ComedyComedy,         DramaDrama,         RomanceRomance ']",[' Kaguya-sama: Love is War - The First Kiss That Never Ends      '],['Aniplex of America '],"['    263,927']",['A-1 Pictures '],"[""  #3822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['SchoolSchool '],"['8.781 (scored by 143246143,246 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['Movie'],"['Aniplex,       Mainichi Broadcasting System,       Shueisha,       JR East Marketing & Communications ']",['  #919'],"['  1,871']",['  1  '],"['  Dec 17, 2022  ']"
38,['  Finished Airing  '],[],['  R - 17+ (violence & profanity)  '],['  1 hr. 23 min.  '],[],['  1  '],"['  Jan 6, 2017  ']","['Aniplex,       Kodansha ']",[' Kizumonogatari III: Reiketsuhen    '],"['ActionAction,         MysteryMystery,         SupernaturalSupernatural ']",[' Kizumonogatari Part 3: Cold-Blooded      '],['Aniplex of America '],"['    462,503']",['Shaft '],"[""  #3922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['VampireVampire '],"['8.781 (scored by 269422269,422 users)      1          indicates a weighted score.    ']",['  Light novel  '],[' Koyomi Vamp  '],['Movie'],[],['  #487'],"['  7,533']",['  1  '],"['  Jan 6, 2017  ']"
39,['  Finished Airing  '],[],['  PG - Children  '],['  2 hr. 4 min.  '],[],['  1  '],"['  Jul 20, 2001  ']","['Dentsu,       TOHO,       Tokuma Shoten,       Tohokushinsha Film Corporation,       Nippon Television Network,       Mitsubishi ']",[' Chihiros Reise ins Zauberland    '],"['AdventureAdventure,         Award WinningAward Winning,         SupernaturalSupernatural ']",[' Spirited Away      '],"['Disney Platform Distribution,       GKIDS ']","['    1,854,984']",['Studio Ghibli '],"[""  #4022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' El viaje de Chihiro    '],['MythologyMythology '],"['8.771 (scored by 12996241,299,624 users)      1          indicates a weighted score.    ']",['  Original  '],"["" Sen and Chihiro's Spiriting Away  ""]",['Movie'],[],['  #44'],"['  32,897']",['  1  '],"['  Jul 20, 2001  ']"
40,['  Finished Airing  '],['Fall 2000'],['  PG-13 - Teens 13 or older  '],['  23 min. per ep.  '],[],['  75  '],"['  Oct 4, 2000 to Mar 27, 2002  ']",['VAP '],[],['SportsSports '],[' Fighting Spirit      '],"['Discotek Media,       Geneon Entertainment USA ']","['    593,786']",['Madhouse '],"[""  #4122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' Hajime no Ippo: Espíritu de Lucha    '],['Combat SportsCombat Sports '],"['8.771 (scored by 292726292,726 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' The First Step, Hajime no Ippo: The Fighting  ']",['TV'],['    Tuesdays at 00:50 (JST)      '],['  #367'],"['  22,141']",['  75  '],"['  Oct 4, 2000 to Mar 27, 2002  ']"
41,['  Finished Airing  '],['Winter 2022'],['  R - 17+ (violence & profanity)  '],['  23 min. per ep.  '],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']",['  12  '],"['  Jan 10, 2022 to Apr 4, 2022  ']","['Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises ']",[],"['ActionAction,         DramaDrama,         SuspenseSuspense ']",[' Attack on Titan: Final Season Part 2      '],['Funimation '],"['    1,291,552']",['MAPPA '],"[""  #4222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['GoreGore,         MilitaryMilitary,         SurvivalSurvival ']","['8.761 (scored by 748523748,523 users)      1          indicates a weighted score.    ']",['  Manga  '],"[' Shingeki no Kyojin Season 4, Attack on Titan Season 4  ']",['TV'],"['    Mondays at 00:05 (JST)      ', 'Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises ']",['  #102'],"['  30,163']",['  12  '],"['  Jan 10, 2022 to Apr 4, 2022  ']"
42,['  Finished Airing  '],['Summer 2013'],['  R - 17+ (violence & profanity)  '],['  25 min. per ep.  '],[],['  26  '],"['  Jul 7, 2013 to Dec 29, 2013  ']","['Aniplex,       Kodansha,       Cyclone Graphics ']",[],"['ComedyComedy,         MysteryMystery,         RomanceRomance,         SupernaturalSupernatural ']",[' Monogatari Series: Second Season      '],['Aniplex of America '],"['    670,156']",['Shaft '],"[""  #4322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['VampireVampire '],"['8.761 (scored by 357906357,906 users)      1          indicates a weighted score.    ']",['  Light novel  '],"[' Nekomonogatari: Shiro, Kabukimonogatari, Otorimonogatari, Onimonogatari, Koimonogatari  ']",['TV'],['    Sundays at 00:00 (JST)      '],['  #306'],"['  23,438']",['  26  '],"['  Jul 7, 2013 to Dec 29, 2013  ']"
43,['  Finished Airing  '],['Winter 2022'],['  R - 17+ (violence & profanity)  '],['  26 min. per ep.  '],[],['  11  '],"['  Dec 5, 2021 to Feb 13, 2022  ']","['Aniplex,       Shueisha ']",[],"['ActionAction,         FantasyFantasy ']",[' Demon Slayer: Kimetsu no Yaiba Entertainment District Arc      '],"['Aniplex of America,       Crunchyroll ']","['    1,427,616']",['ufotable '],"[""  #4422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],['HistoricalHistorical '],"['8.751 (scored by 906183906,183 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['TV'],['    Sundays at 23:15 (JST)      '],['  #88'],"['  24,372']",['  11  '],"['  Dec 5, 2021 to Feb 13, 2022  ']"
44,['  Finished Airing  '],['Winter 2024'],['  R - 17+ (violence & profanity)  '],['  24 min. per ep.  '],"['HistoricalHistorical,         MilitaryMilitary ']",['  13  '],"['  Jan 14, 2024 to Mar 31, 2024  ']","['Avex Pictures,       Shueisha,       Jinnan Studio,       NHK Enterprises ']",[],['ActionAction '],[' Kingdom: Season 5      '],"['    None found, add some ']","['    33,960']","['Pierrot,       Studio Signpost ']","[""  #4522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['HistoricalHistorical,         MilitaryMilitary ']","['8.751 (scored by 1176411,764 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['TV'],['    Sundays at 00:00 (JST)      '],['  #3821'],['  410'],['  13  '],"['  Jan 14, 2024 to Mar 31, 2024  ']"
45,['  Finished Airing  '],['Spring 1998'],['  R - 17+ (violence & profanity)  '],['  24 min. per ep.  '],"['Adult CastAdult Cast,         SpaceSpace ']",['  26  '],"['  Apr 3, 1998 to Apr 24, 1999  ']",['Bandai Visual '],[],"['ActionAction,         Award WinningAward Winning,         Sci-FiSci-Fi ']",[' Cowboy Bebop      '],['Funimation '],"['    1,867,022']",['Sunrise '],"[""  #4722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Adult CastAdult Cast,         SpaceSpace ']","['8.751 (scored by 965693965,693 users)      1          indicates a weighted score.    ']",['  Original  '],[],['TV'],['    Saturdays at 01:00 (JST)      '],['  #43'],"['  82,484']",['  26  '],"['  Apr 3, 1998 to Apr 24, 1999  ']"
46,['  Finished Airing  '],['Summer 2019'],['  R - 17+ (violence & profanity)  '],['  24 min. per ep.  '],"['GoreGore,         HistoricalHistorical ']",['  24  '],"['  Jul 8, 2019 to Dec 30, 2019  ']","['Production I.G,       Dentsu,       Kodansha,       Twin Engine ']",[],"['ActionAction,         AdventureAdventure,         DramaDrama ']",[],['Sentai Filmworks '],"['    1,516,239']",['Wit Studio '],"[""  #4822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['GoreGore,         HistoricalHistorical ']","['8.751 (scored by 873312873,312 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['TV'],['    Mondays at 00:10 (JST)      '],['  #74'],"['  47,513']",['  24  '],"['  Jul 8, 2019 to Dec 30, 2019  ']"
47,['  Finished Airing  '],['Spring 2022'],['  R - 17+ (violence & profanity)  '],['  24 min. per ep.  '],"['HistoricalHistorical,         MilitaryMilitary ']",['  26  '],"['  Apr 10, 2022 to Oct 2, 2022  ']","['Avex Pictures,       Shueisha,       NHK Enterprises ']",[],['ActionAction '],[' Kingdom: Season 4      '],"['    None found, add some ']","['    64,568']","['Pierrot,       Studio Signpost ']","[""  #4922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['HistoricalHistorical,         MilitaryMilitary ']","['8.741 (scored by 2736627,366 users)      1          indicates a weighted score.    ']",['  Manga  '],[],['TV'],['    Sundays at 00:00 (JST)      '],['  #2724'],"['  1,051']",['  26  '],"['  Apr 10, 2022 to Oct 2, 2022  ']"
48,['  Finished Airing  '],['Fall 1980'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],[],['  47  '],"['  Oct 13, 1980 to Aug 31, 1981  ']",['Annapuru '],[' N/A    '],"['DramaDrama,         SportsSports ']","["" Tomorrow's Joe 2      ""]","['    None found, add some ']","['    52,485']",['Tokyo Movie Shinsha '],"[""  #4622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[' El Campeón/ El mañana de Joe 2    '],['Combat SportsCombat Sports '],"['8.751 (scored by 2062020,620 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Rocky Joe 2  '],['TV'],['    Unknown      '],['  #3051'],"['  2,681']",['  47  '],"['  Oct 13, 1980 to Aug 31, 1981  ']"
49,['  Finished Airing  '],['Fall 2014'],['  PG-13 - Teens 13 or older  '],['  23 min. per ep.  '],"['Adult CastAdult Cast,         HistoricalHistorical,         IyashikeiIyashikei ']",['  10  '],"['  Oct 19, 2014 to Dec 21, 2014  ']","['Aniplex,       Kodansha,       Delfi Sound ']",[],"['AdventureAdventure,         MysteryMystery,         Slice of LifeSlice of Life,         SupernaturalSupernatural ']",[' Mushi-shi: Next Passage Part 2      '],['Aniplex of America '],"['    267,027']",['Artland '],"[""  #5022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['Adult CastAdult Cast,         HistoricalHistorical,         IyashikeiIyashikei ']","['8.731 (scored by 106821106,821 users)      1          indicates a weighted score.    ']",['  Manga  '],[' Mushishi Zoku Shou 2nd Season  '],['TV'],['    Sundays at 00:30 (JST)      '],['  #909'],"['  1,486']",['  10  '],"['  Oct 19, 2014 to Dec 21, 2014  ']"
50,['  Currently Airing  '],['Fall 1999'],['  PG-13 - Teens 13 or older  '],['  24 min.  '],[],['  Unknown  '],"['  Oct 20, 1999 to ?  ']","['Fuji TV,       TAP,       Shueisha ']",[],"['ActionAction,         AdventureAdventure,         FantasyFantasy ']",[' One Piece      '],"['Funimation,       4Kids Entertainment ']","['    2,356,190']",['Toei Animation '],"[""  #5122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],[],"['8.721 (scored by 13387691,338,769 users)      1          indicates a weighted score.    ']",['  Manga  '],[' OP  '],['TV'],['    Sundays at 09:30 (JST)      '],['  #19'],"['  221,081']",['  Unknown  '],"['  Oct 20, 1999 to ?  ']"
51,['  Currently Airing  '],['Spring 2024'],['  PG-13 - Teens 13 or older  '],['  24 min. per ep.  '],"['MusicMusic,         Performing ArtsPerforming Arts,         SchoolSchool ']",['  13  '],"['  Apr 7, 2024 to ?  ']","['Lantis,       Pony Canyon,       Rakuonsha,       ABC Animation,       Heart Company,       Bandai Namco Music Live ']",[],['DramaDrama '],[' Sound! Euphonium 3      '],"['    None found, add some ']","['    53,760']",['Kyoto Animation '],"[""  #5922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.    ""]",[],"['MusicMusic,         Performing ArtsPerforming Arts,         SchoolSchool ']","['8.691 (scored by 46714,671 users)      1          indicates a weighted score.    ']",['  Novel  '],[' Hibike! Euphonium Third Season  '],['TV'],['    Sundays at 17:00 (JST)      '],['  #3010'],['  263'],['  13  '],"['  Apr 7, 2024 to ?  ']"
